"№","предмет выдачи","число ссуд","на сумму (руб)","более подробные сведения, на какие именно предметы выданы ссуды"
1,"покупка земли в полную собственность",,,
2,"Постройка, покупка, оборудование и ремонт предприятий сельско-хозяйственных и промышленных (мельниц, маслобоен, кузниц, амбаров, сараев и т.п.)",2,45р.,"на постройку амбара и ремонт жилья"
3,"постройки для жилья, покупка их или ремонт",,,
4,"Улучшение угодий (покупка удобрений, искусственное орошение, осушение, корчевание и т.п.) устройство плотин, прудов, садов, огородов",,,
5,"покупка и почин орудиц для сельского хозяйтсва (машин и проч.)",,,
6,"покупка и починка орудий ремесленного, кустарного и других промыслов (слесарные, столярные инструменты, приборы и проч.)",,,
7,"покупка рабочего скота, всяких домашних животных (лошади, волы, ослы, верблюды, коровы, овцы т и.п.), домашней птицы, пчел и т.п.",2,60р.,"на покупку лошади и коровы"
8,"аренда (земли и други угодий, мельницы, промышленного заведения)",,,
9,"покупка семян для посева",50,800р.,"на покупку овса"
10,"покупка материалов ремесленного, кустарного и других промыслов (сталь, железо, медь, дерево, сукно, кожа, шерсть, краски и т.п.)",,,
11,"наем машин и рабочей силы (рабочих, рабочего скота, электрической и другой энергии), покупка горючего материала (дров, уголь и т.п.)",,,
12,"Покупка разного рода товаров для продажи",4,380р.,"на покупку скота, масла, яиц и крупы для продажи"
13,"покупка корма для скота (ове, сено, отруби и т.п.)",32,716р.,"на покупку сена и овса"
14,"снаряжение в отхожие промыслы",,,
15,"уплата частных долгов",,,
16,"переписка выданных товаищеских обязательств  на новые сроки или на новых условиях",,,
17,"разные личные расходы заемщика и его семьи (продовольствие, отопление, уплата повинностей, свадьбы, похороны, лечение, воспитание детей, наряды, довольствия, мебель, книги и т.п.)",59,1 027р.,"53 на покупку хлеба; 1 на воспитание детей; 2 на свадьбу; 1 на похороны; 2 на одежду"
18,"ссуды под залог произведений сельского хозяйства и промыслов",,,
19,"ссуды под залог ремесленныз и кустарных произведений",,,
"ИТОГО",,149,3 028р.,
