"№","предмет выдачи","число ссуд","на сумму (руб)","более подробные сведения, на какие именно предметы выданы ссуды"
1,"покупка земли в полную собственность",,,
2,"Постройка, покупка, оборудование и ремонт предприятий сельско-хозяйственных и промышленных (мельниц, маслобоен, кузниц, амбаров, сараев и т.п.)",,,
3,"постройки для жилья, покупка их или ремонт",7,270р.,"постройка новых домов и ремонт старых"
4,"Улучшение угодий (покупка удобрений, искусственное орошение, осушение, корчевание и т.п.) устройство плотин, прудов, садов, огородов",,,
5,"покупка и почин орудиц для сельского хозяйтсва (машин и проч.)",2,28р.,"покупка кос"
6,"покупка и починка орудий ремесленного, кустарного и других промыслов (слесарные, столярные инструменты, приборы и проч.)",,,
7,"покупка рабочего скота, всяких домашних животных (лошади, волы, ослы, верблюды, коровы, овцы т и.п.), домашней птицы, пчел и т.п.",3,140р.,"покупка коровы и лошади"
8,"аренда (земли и други угодий, мельницы, промышленного заведения)",,,
9,"покупка семян для посева",16,297р.,"покупка овса"
10,"покупка материалов ремесленного, кустарного и других промыслов (сталь, железо, медь, дерево, сукно, кожа, шерсть, краски и т.п.)",,,
11,"наем машин и рабочей силы (рабочих, рабочего скота, электрической и другой энергии), покупка горючего материала (дров, уголь и т.п.)",7,209р.,"на наем рабочих и рабочего скота"
12,"Покупка разного рода товаров для продажи",9,875р.,"покупка скота для мяса, масла, яиц, рыбы и проч."
13,"покупка корма для скота (ове, сено, отруби и т.п.)",3,80р.,"покупка овса и сена"
14,"снаряжение в отхожие промыслы",1,100р.,"покупка тарантаса"
15,"уплата частных долгов",,,
16,"переписка выданных товаищеских обязательств  на новые сроки или на новых условиях",,,
17,"разные личные расходы заемщика и его семьи (продовольствие, отопление, уплата повинностей, свадьбы, похороны, лечение, воспитание детей, наряды, довольствия, мебель, книги и т.п.)",47,880р.,"33 с. - продовольствие; 1 с. - свадьба; 1 с. - учение детей; 1 с. - обзаведение хозяйством; 2 с. - личные расходы 9 с. - на обувь и одежду"
18,"ссуды под залог произведений сельского хозяйства и промыслов",,,
19,"ссуды под залог ремесленныз и кустарных произведений",,,
"ИТОГО",,95,2879,
