"№","предмет выдачи","число ссуд","на сумму (руб)","более подробные сведения, на какие именно предметы выданы ссуды"
1,"покупка земли в полную собственность",,,
2,"Постройка, покупка, оборудование и ремонт предприятий сельско-хозяйственных и промышленных (мельниц, маслобоен, кузниц, амбаров, сараев и т.п.)",4,190р.,"2 с. на 105 руб. - на постройку хлева; 1 с. на 50 руб. - на постройку сарая; 1 с. на 35 руб. - на построцку кузницы"
3,"постройки для жилья, покупка их или ремонт",1,5р.,"постройка дома"
4,"Улучшение угодий (покупка удобрений, искусственное орошение, осушение, корчевание и т.п.) устройство плотин, прудов, садов, огородов",,,
5,"покупка и почин орудиц для сельского хозяйтсва (машин и проч.)",,,
6,"покупка и починка орудий ремесленного, кустарного и других промыслов (слесарные, столярные инструменты, приборы и проч.)",,,
7,"покупка рабочего скота, всяких домашних животных (лошади, волы, ослы, верблюды, коровы, овцы т и.п.), домашней птицы, пчел и т.п.",2,120р.,"1 с. на 100 руб. - на коров.; 1 с. на 20 руб. - покупка лошад."
8,"аренда (земли и други угодий, мельницы, промышленного заведения)",,,
9,"покупка семян для посева",,,
10,"покупка материалов ремесленного, кустарного и других промыслов (сталь, железо, медь, дерево, сукно, кожа, шерсть, краски и т.п.)",2,40р.,"на покупку кожи"
11,"наем машин и рабочей силы (рабочих, рабочего скота, электрической и другой энергии), покупка горючего материала (дров, уголь и т.п.)",,,
12,"Покупка разного рода товаров для продажи",1,"1,500р.","на покупку муки"
13,"покупка корма для скота (ове, сено, отруби и т.п.)",1,16р.,"на покупку корма"
14,"снаряжение в отхожие промыслы",1,25р.,"на дорогу"
15,"уплата частных долгов",1,10р.,"на уплату долга"
16,"переписка выданных товаищеских обязательств  на новые сроки или на новых условиях",,," "
17,"разные личные расходы заемщика и его семьи (продовольствие, отопление, уплата повинностей, свадьбы, похороны, лечение, воспитание детей, наряды, довольствия, мебель, книги и т.п.)",13,215р.,"10 с. на 173 р. на обувь; 3 с. на 42 р. - на хлеб."
18,"ссуды под залог произведений сельского хозяйства и промыслов",,,
19,"ссуды под залог ремесленныз и кустарных произведений",,,
"ИТОГО",,26,2121,
