"№","предмет выдачи","число ссуд","на сумму (руб)","более подробные сведения, на какие именно предметы выданы ссуды"
1,"покупка земли в полную собственность",,,
2,"Постройка, покупка, оборудование и ремонт предприятий сельско-хозяйственных и промышленных (мельниц, маслобоен, кузниц, амбаров, сараев и т.п.)",4,75р.,"1 с. - на постройку мельницы 20 руб.; 3 с. - на ремонт сарая 55 руб."
3,"постройки для жилья, покупка их или ремонт",2,80р.,"на постройку домов"
4,"Улучшение угодий (покупка удобрений, искусственное орошение, осушение, корчевание и т.п.) устройство плотин, прудов, садов, огородов",,,
5,"покупка и почин орудиц для сельского хозяйтсва (машин и проч.)",,,
6,"покупка и починка орудий ремесленного, кустарного и других промыслов (слесарные, столярные инструменты, приборы и проч.)",,,
7,"покупка рабочего скота, всяких домашних животных (лошади, волы, ослы, верблюды, коровы, овцы т и.п.), домашней птицы, пчел и т.п.",1,15р.,"на покупку жеребенка"
8,"аренда (земли и други угодий, мельницы, промышленного заведения)",,,
9,"покупка семян для посева",13,250р.,"на семяна овса"
10,"покупка материалов ремесленного, кустарного и других промыслов (сталь, железо, медь, дерево, сукно, кожа, шерсть, краски и т.п.)",2,125р.,"на покупку кожи"
11,"наем машин и рабочей силы (рабочих, рабочего скота, электрической и другой энергии), покупка горючего материала (дров, уголь и т.п.)",1,20р.,"на наем работников"
12,"Покупка разного рода товаров для продажи",,,
13,"покупка корма для скота (ове, сено, отруби и т.п.)",6,118р.,"на покупку сена"
14,"снаряжение в отхожие промыслы",,,
15,"уплата частных долгов",1,5р.,
16,"переписка выданных товаищеских обязательств  на новые сроки или на новых условиях",,,
17,"разные личные расходы заемщика и его семьи (продовольствие, отопление, уплата повинностей, свадьбы, похороны, лечение, воспитание детей, наряды, довольствия, мебель, книги и т.п.)",12,336р.,"1 с. на воспитание детей 25 р.; 11 с. на покупку ржан.муки 111 р."
18,"ссуды под залог произведений сельского хозяйства и промыслов",,,
19,"ссуды под залог ремесленныз и кустарных произведений",,,
"ИТОГО",,42,1024,
