"№","предмет выдачи","число ссуд","на сумму (руб)","более подробные сведения, на какие именно предметы выданы ссуды"
1,"покупка земли в полную собственность",7,230р.,"покупка земли в личн. Собствен."
2,"Постройка, покупка, оборудование и ремонт предприятий сельско-хозяйственных и промышленных (мельниц, маслобоен, кузниц, амбаров, сараев и т.п.)",14,500р.,"постройка мельниц, сараев и т.д."
3,"постройки для жилья, покупка их или ремонт",5,120р.,"постройка жилья и ремонт"
4,"Улучшение угодий (покупка удобрений, искусственное орошение, осушение, корчевание и т.п.) устройство плотин, прудов, садов, огородов",3,75р.,"усиление угодий"
5,"покупка и почин орудиц для сельского хозяйтсва (машин и проч.)",5,160р.,"покупка машин и пр."
6,"покупка и починка орудий ремесленного, кустарного и других промыслов (слесарные, столярные инструменты, приборы и проч.)",10,350р.,"покупка и почин орудий и пр."
7,"покупка рабочего скота, всяких домашних животных (лошади, волы, ослы, верблюды, коровы, овцы т и.п.), домашней птицы, пчел и т.п.",32,"1,230р.","покупка лошадей, коров, овец и т.д."
8,"аренда (земли и други угодий, мельницы, промышленного заведения)",,,
9,"покупка семян для посева",20,780р.,"покупка семян для посева"
10,"покупка материалов ремесленного, кустарного и других промыслов (сталь, железо, медь, дерево, сукно, кожа, шерсть, краски и т.п.)",18,270р.,"покупка кожи, меди, железа  пр."
11,"наем машин и рабочей силы (рабочих, рабочего скота, электрической и другой энергии), покупка горючего материала (дров, уголь и т.п.)",5,180р.,"наем машин и рабочей силы"
12,"Покупка разного рода товаров для продажи",3,110р.,"покупка разного рода товаров"
13,"покупка корма для скота (ове, сено, отруби и т.п.)",12,540р.,"покупка сена, овса и др."
14,"снаряжение в отхожие промыслы",7,65р.,"снаряжение в отхожие промыслы"
15,"уплата частных долгов",5,40р.,"уплата частных долгов"
16,"переписка выданных товаищеских обязательств  на новые сроки или на новых условиях",5,70р.,"переписка Товариществу"
17,"разные личные расходы заемщика и его семьи (продовольствие, отопление, уплата повинностей, свадьбы, похороны, лечение, воспитание детей, наряды, довольствия, мебель, книги и т.п.)",10,100р.,"отопление и воспитание детей"
18,"ссуды под залог произведений сельского хозяйства и промыслов",5,70р.,"ссуда под залог произведен.сх изделий"
19,"ссуды под залог ремесленныз и кустарных произведений",,,
"ИТОГО",,166,4890,
