"№","предмет выдачи","число ссуд","на сумму (руб)","более подробные сведения, на какие именно предметы выданы ссуды"
1,"покупка земли в полную собственность",4,200р.,"на покупку земли в личную собственность"
2,"Постройка, покупка, оборудование и ремонт предприятий сельско-хозяйственных и промышленных (мельниц, маслобоен, кузниц, амбаров, сараев и т.п.)",13,700р.,"5 с. на 180 руб. - постройка и оборудование мельниц; 6 с. на 420 руб. - постройка и ремонт сараев; 2 с. на 100 руб. - постройка и ремонт амбаров"
3,"постройки для жилья, покупка их или ремонт",15,"1,050р.","10 с. на 1000 руб. - постройка жилых домов; 2 с. на 50 руб. - ремонт жилых помещений."
4,"Улучшение угодий (покупка удобрений, искусственное орошение, осушение, корчевание и т.п.) устройство плотин, прудов, садов, огородов",4,60р.,"4 с. на 60 руб. - покупка удобрений"
5,"покупка и почин орудиц для сельского хозяйтсва (машин и проч.)",10,500р.,"8 с. на 400 руб. - покупка телег; 2 с. на 100 руб. - обурод.(?) сох"
6,"покупка и починка орудий ремесленного, кустарного и других промыслов (слесарные, столярные инструменты, приборы и проч.)",6,140р.,"5 с. на 50 руб. - починка швейных машин; 1 с. на покупку 90 руб."
7,"покупка рабочего скота, всяких домашних животных (лошади, волы, ослы, верблюды, коровы, овцы т и.п.), домашней птицы, пчел и т.п.",12,"1,200р.","7 с. по 700 руб. - на покупку лошадей; 5 с. на 500 руб. - на покупку коров"
8,"аренда (земли и други угодий, мельницы, промышленного заведения)",2,100р.,"2 с. на 100 руб. - аренда мельниц"
9,"покупка семян для посева",4,160р.,"4 с. на 160 руб. покупка семян"
10,"покупка материалов ремесленного, кустарного и других промыслов (сталь, железо, медь, дерево, сукно, кожа, шерсть, краски и т.п.)",4,40р.,"4 с. на 40 руб. на покупку шерсти"
11,"наем машин и рабочей силы (рабочих, рабочего скота, электрической и другой энергии), покупка горючего материала (дров, уголь и т.п.)",12,600р.,"7 с. на 350 руб. - наем рабочих с лошадьми; 5 с. на 250 руб. - наем рабочих рук.  "
12,"Покупка разного рода товаров для продажи",12,"1,000р.","6 с. на 600 руб. - на покупку дичи для продажи; 6 с. на 400 руб. - покупка льна для продажи"
13,"покупка корма для скота (ове, сено, отруби и т.п.)",4,80р.,"на покупку сена"
14,"снаряжение в отхожие промыслы",,,
15,"уплата частных долгов",4,60р.,"4 с. на 60 руб. - снаряжение в солдаты "
16,"переписка выданных товаищеских обязательств  на новые сроки или на новых условиях",2,150р.,"2 с. на 150 руб. - уплата частных долгов"
17,"разные личные расходы заемщика и его семьи (продовольствие, отопление, уплата повинностей, свадьбы, похороны, лечение, воспитание детей, наряды, довольствия, мебель, книги и т.п.)",15,789р.,"10 с. на 500 руб. на покупку муки; 2 с. на 39 руб. - на покупку дров; 3 с. на 250 руб. - на свадьбы"
18,"ссуды под залог произведений сельского хозяйства и промыслов",,,
19,"ссуды под залог ремесленныз и кустарных произведений",,,
"ИТОГО",,123,6829,
