"№","предмет выдачи","число ссуд","на сумму (руб)","более подробные сведения, на какие именно предметы выданы ссуды"
1,"покупка земли в полную собственность",5,175р.,"Покупка земли в личную собственность"
2,"Постройка, покупка, оборудование и ремонт предприятий сельско-хозяйственных и промышленных (мельниц, маслобоен, кузниц, амбаров, сараев и т.п.)",8,215р.,"постройка кузниц, амбаров и др."
3,"постройки для жилья, покупка их или ремонт",14,450р.,"постройка жилья и ремонт"
4,"Улучшение угодий (покупка удобрений, искусственное орошение, осушение, корчевание и т.п.) устройство плотин, прудов, садов, огородов",5,220р.,"улучшение угодий, сады и огороды"
5,"покупка и почин орудиц для сельского хозяйтсва (машин и проч.)",5,180р.,"покупка и починка машин"
6,"покупка и починка орудий ремесленного, кустарного и других промыслов (слесарные, столярные инструменты, приборы и проч.)",5,360р.,"покупка столярных инструментов"
7,"покупка рабочего скота, всяких домашних животных (лошади, волы, ослы, верблюды, коровы, овцы т и.п.), домашней птицы, пчел и т.п.",24,"1,750р.","покупка лошадей, коров, овец и т.д."
8,"аренда (земли и други угодий, мельницы, промышленного заведения)",9,125р.,"аренда земли, мельниц и др."
9,"покупка семян для посева",25,970р.,"покупка семян для посева"
10,"покупка материалов ремесленного, кустарного и других промыслов (сталь, железо, медь, дерево, сукно, кожа, шерсть, краски и т.п.)",7,400р.,"покупка материалов, сукно, кожи, шерсти, железа и др. материалов"
11,"наем машин и рабочей силы (рабочих, рабочего скота, электрической и другой энергии), покупка горючего материала (дров, уголь и т.п.)",15,250р.,"наем рабочей силы для уборки сена"
12,"Покупка разного рода товаров для продажи",4,150р.,"покупка разного рода товаров"
13,"покупка корма для скота (ове, сено, отруби и т.п.)",10,380р.,"покупка корма для скота"
14,"снаряжение в отхожие промыслы",,,
15,"уплата частных долгов",,,
16,"переписка выданных товаищеских обязательств  на новые сроки или на новых условиях",,,
17,"разные личные расходы заемщика и его семьи (продовольствие, отопление, уплата повинностей, свадьбы, похороны, лечение, воспитание детей, наряды, довольствия, мебель, книги и т.п.)",10,185р.,"воспитание детей, наряды и т.д."
18,"ссуды под залог произведений сельского хозяйства и промыслов",5,75р.,"ссуды под залог сельского хозяйства"
19,"ссуды под залог ремесленныз и кустарных произведений",3,160р.,"под залог ремесленных и кустарных произв."
"ИТОГО",,154,6045,
