"№","предмет выдачи","число ссуд","на сумму (руб)","более подробные сведения, на какие именно предметы выданы ссуды"
1,"покупка земли в полную собственность",6,170р.,"покупка земли в личную собственность"
2,"Постройка, покупка, оборудование и ремонт предприятий сельско-хозяйственных и промышленных (мельниц, маслобоен, кузниц, амбаров, сараев и т.п.)",4,190р.,"покупка мельницы и кузниц"
3,"постройки для жилья, покупка их или ремонт",20,440р.,"покупка домов, сараев"
4,"Улучшение угодий (покупка удобрений, искусственное орошение, осушение, корчевание и т.п.) устройство плотин, прудов, садов, огородов",3,100р.," покупка удобрений"
5,"покупка и почин орудиц для сельского хозяйтсва (машин и проч.)",5,80р.,
6,"покупка и починка орудий ремесленного, кустарного и других промыслов (слесарные, столярные инструменты, приборы и проч.)",12,540р.,"починка и покупка столярных инструментов"
7,"покупка рабочего скота, всяких домашних животных (лошади, волы, ослы, верблюды, коровы, овцы т и.п.), домашней птицы, пчел и т.п.",20,"1,450р.","покупк лошадей, коров и овец"
8,"аренда (земли и други угодий, мельницы, промышленного заведения)",5,110р.,
9,"покупка семян для посева",35,"1,320р.","покупка овса, ржи и семян"
10,"покупка материалов ремесленного, кустарного и других промыслов (сталь, железо, медь, дерево, сукно, кожа, шерсть, краски и т.п.)",25,"1,230р.","покупка кожи"
11,"наем машин и рабочей силы (рабочих, рабочего скота, электрической и другой энергии), покупка горючего материала (дров, уголь и т.п.)",7,145р.,"наём рабочих и покупка дров"
12,"Покупка разного рода товаров для продажи",,,
13,"покупка корма для скота (ове, сено, отруби и т.п.)",25,"1,450р.","одежда и обувь"
14,"снаряжение в отхожие промыслы",10,210р.,
15,"уплата частных долгов",8,180р.,
16,"переписка выданных товаищеских обязательств  на новые сроки или на новых условиях",,,
17,"разные личные расходы заемщика и его семьи (продовольствие, отопление, уплата повинностей, свадьбы, похороны, лечение, воспитание детей, наряды, довольствия, мебель, книги и т.п.)",20,240р.,"воспитание детей"
18,"ссуды под залог произведений сельского хозяйства и промыслов",9,100р.,
19,"ссуды под залог ремесленныз и кустарных произведений",10,133р.,
"ИТОГО",,224,8088,
