"№","предмет выдачи","число ссуд","на сумму (руб)","более подробные сведения, на какие именно предметы выданы ссуды"
1,"покупка земли в полную собственность",1,100р.,"покупка земли"
2,"Постройка, покупка, оборудование и ремонт предприятий сельско-хозяйственных и промышленных (мельниц, маслобоен, кузниц, амбаров, сараев и т.п.)",12,600р.,"покупка мельниц и кузниц"
3,"постройки для жилья, покупка их или ремонт",,,
4,"Улучшение угодий (покупка удобрений, искусственное орошение, осушение, корчевание и т.п.) устройство плотин, прудов, садов, огородов",5,150р.,"покупка удобрения"
5,"покупка и почин орудиц для сельского хозяйтсва (машин и проч.)",6,180р.,"покупка сох и плугов"
6,"покупка и починка орудий ремесленного, кустарного и других промыслов (слесарные, столярные инструменты, приборы и проч.)",20,200р.,
7,"покупка рабочего скота, всяких домашних животных (лошади, волы, ослы, верблюды, коровы, овцы т и.п.), домашней птицы, пчел и т.п.",66,"2,950р.","покупка лошадей, коров и овец"
8,"аренда (земли и други угодий, мельницы, промышленного заведения)",,,
9,"покупка семян для посева",16,280р.,"покупка овса и ржи"
10,"покупка материалов ремесленного, кустарного и других промыслов (сталь, железо, медь, дерево, сукно, кожа, шерсть, краски и т.п.)",18,360р.,"покупка кожи"
11,"наем машин и рабочей силы (рабочих, рабочего скота, электрической и другой энергии), покупка горючего материала (дров, уголь и т.п.)",25,300р.,"найм рабочих и покупка дров"
12,"Покупка разного рода товаров для продажи",5,100р.,"покупка льна"
13,"покупка корма для скота (ове, сено, отруби и т.п.)",15,150р.,"покупка сена"
14,"снаряжение в отхожие промыслы",15,200р.,"одежда и обувь"
15,"уплата частных долгов",3,40р.,
16,"переписка выданных товаищеских обязательств  на новые сроки или на новых условиях",,,
17,"разные личные расходы заемщика и его семьи (продовольствие, отопление, уплата повинностей, свадьбы, похороны, лечение, воспитание детей, наряды, довольствия, мебель, книги и т.п.)",4,65р.,"воспитание детей"
18,"ссуды под залог произведений сельского хозяйства и промыслов",,,
19,"ссуды под залог ремесленныз и кустарных произведений",,,
"ИТОГО",,211,5675,
