"№","предмет выдачи","число ссуд","на сумму (руб)","более подробные сведения, на какие именно предметы выданы ссуды"
1,"покупка земли в полную собственность",2,75р.,"покупка земли"
2,"Постройка, покупка, оборудование и ремонт предприятий сельско-хозяйственных и промышленных (мельниц, маслобоен, кузниц, амбаров, сараев и т.п.)",18,700р.,"покупка мельниц и кузниц"
3,"постройки для жилья, покупка их или ремонт",24,930р.,"постройка для жилья"
4,"Улучшение угодий (покупка удобрений, искусственное орошение, осушение, корчевание и т.п.) устройство плотин, прудов, садов, огородов",8,310р.,"лучшение угодий"
5,"покупка и почин орудиц для сельского хозяйтсва (машин и проч.)",26,"1,200р.","покупка и починка орудий"
6,"покупка и починка орудий ремесленного, кустарного и других промыслов (слесарные, столярные инструменты, приборы и проч.)",13,320р.,"покупка орудий"
7,"покупка рабочего скота, всяких домашних животных (лошади, волы, ослы, верблюды, коровы, овцы т и.п.), домашней птицы, пчел и т.п.",31,"1,170р.","покупка скота"
8,"аренда (земли и други угодий, мельницы, промышленного заведения)",,,
9,"покупка семян для посева",16,430р.,"покупка семян"
10,"покупка материалов ремесленного, кустарного и других промыслов (сталь, железо, медь, дерево, сукно, кожа, шерсть, краски и т.п.)",22,810р.,"покупка материала"
11,"наем машин и рабочей силы (рабочих, рабочего скота, электрической и другой энергии), покупка горючего материала (дров, уголь и т.п.)",33,960р.,"найм машин"
12,"Покупка разного рода товаров для продажи",17,510р.,"покупка товаров"
13,"покупка корма для скота (ове, сено, отруби и т.п.)",21,760р.,"покупка корма"
14,"снаряжение в отхожие промыслы",4,140р.,"снаряжение в отхожие промыслы"
15,"уплата частных долгов",6,120р.,"уплата долгов"
16,"переписка выданных товаищеских обязательств  на новые сроки или на новых условиях",,,
17,"разные личные расходы заемщика и его семьи (продовольствие, отопление, уплата повинностей, свадьбы, похороны, лечение, воспитание детей, наряды, довольствия, мебель, книги и т.п.)",17,620р.,"разные расходы"
18,"ссуды под залог произведений сельского хозяйства и промыслов",9,270р.,"под залог разного рода произведений"
19,"ссуды под залог ремесленныз и кустарных произведений",7,215р.,
"ИТОГО",,274,9540,
