"№","предмет выдачи","число ссуд","на сумму (руб)","более подробные сведения, на какие именно предметы выданы ссуды"
1,"покупка земли в полную собственность",,,
2,"Постройка, покупка, оборудование и ремонт предприятий сельско-хозяйственных и промышленных (мельниц, маслобоен, кузниц, амбаров, сараев и т.п.)",10,200р.,"1 с. на 30 руб. - на постройку кузницы, 5 с. на 100 руб. - постройку дворосвх построек и сараи; 1 с. на 10 р. - амбар; 3 с. на 60 руб. - постройку гумен"
3,"постройки для жилья, покупка их или ремонт",61,"2,440р."," 47 ссуд на 1880 руб. - на постройку домов; 14 ссуд  - на ремонты жилья - 560 руб."
4,"Улучшение угодий (покупка удобрений, искусственное орошение, осушение, корчевание и т.п.) устройство плотин, прудов, садов, огородов",4,20р.,"на покупку удобрений"
5,"покупка и почин орудиц для сельского хозяйтсва (машин и проч.)",18,180р.,"10 с. на 100 руб. на покупку плугов; 8 с. на 80 руб. - на покупку бороны"
6,"покупка и починка орудий ремесленного, кустарного и других промыслов (слесарные, столярные инструменты, приборы и проч.)",6,50р.,"4 с. на 40 руб. - на покупку столярных инструментов; 2 с. на 20 руб. - сапожные инструменты"
7,"покупка рабочего скота, всяких домашних животных (лошади, волы, ослы, верблюды, коровы, овцы т и.п.), домашней птицы, пчел и т.п.",34,"1,600р.","20 с. на 1000 руб. - на покупку лошадей; 10 с. на 400 руб. - на покупку коров; 4 с. на 200 руб. - на покупку нетели"
8,"аренда (земли и други угодий, мельницы, промышленного заведения)",3,15р.,"аренда покоса"
9,"покупка семян для посева",20,400р.,"17 с. на 340 руб. - покупка овса; 3 с. на 60 руб. - на покупку ячменя"
10,"покупка материалов ремесленного, кустарного и других промыслов (сталь, железо, медь, дерево, сукно, кожа, шерсть, краски и т.п.)",17,110р.,"7 с. на 35 руб. - на покупку железа; 5 с. на 50 руб. - на покупку кожи; 5 с. на 25 руб. - на покупку шерсти - 25 руб."
11,"наем машин и рабочей силы (рабочих, рабочего скота, электрической и другой энергии), покупка горючего материала (дров, уголь и т.п.)",14,114р.,"8 с. на 80 руб. - наём рабочих; 6 с. на 34 руб. - покупка дров"
12,"Покупка разного рода товаров для продажи",5,125р.,"5 с. на 125 руб. - покупка льна"
13,"покупка корма для скота (ове, сено, отруби и т.п.)",42,310р.,"22 с. на 110 руб. - покупка сена; 20 с. на 200 руб. - покупка овса"
14,"снаряжение в отхожие промыслы",1,10р.,
15,"уплата частных долгов",,,
16,"переписка выданных товаищеских обязательств  на новые сроки или на новых условиях",,,
17,"разные личные расходы заемщика и его семьи (продовольствие, отопление, уплата повинностей, свадьбы, похороны, лечение, воспитание детей, наряды, довольствия, мебель, книги и т.п.)",16,160р.,"5 с. на 50 руб. - на продовольствие; 5 с. на 50 руб. - отопление и покупка дров; 6 с. на 60 руб. - на воспитание детей"
18,"ссуды под залог произведений сельского хозяйства и промыслов",,,
19,"ссуды под залог ремесленныз и кустарных произведений",,,
"ИТОГО",,251,5734,
