year,settlement,month_start,month_end,credit_item,loan_count,amount_rubles,loan_details
1916,Ivinskoye,4,6,FarmBuildings,1,25,
1916,Ivinskoye,4,6,LandImprovement,2,400,
1916,Ivinskoye,4,6,Livestock,3,250,
1916,Ivinskoye,4,6,Rent,1,50,
1916,Ivinskoye,4,6,Migration,1,35,
1916,Ivinskoye,4,6,PersonalExpenses,1,30,
1916,Ivinskoye,1,3,FarmBuildings,2,25,
1916,Ivinskoye,1,3,Housing,1,50,
1916,Ivinskoye,1,3,LandImprovement,7,460,
1916,Ivinskoye,1,3,Livestock,2,220,
1916,Ivinskoye,1,3,CraftMaterials,1,25,
1916,Ivinskoye,1,3,AnimalFeed,5,240,
1916,Ivinskoye,1,3,Migration,1,30,
1916,Ivinskoye,1,3,PersonalExpenses,9,246,на покупку муки на хлеб
1916,Ivinskoye,7,8,Housing,5,285,
1916,Ivinskoye,7,8,LandImprovement,4,700,
1916,Ivinskoye,7,8,Livestock,4,405,
1916,Ivinskoye,7,8,CraftMaterials,1,30,
1916,Ivinskoye,7,8,LaborFuel,1,20,
1916,Ivinskoye,7,8,Migration,6,350,
1916,Ivinskoye,7,8,PersonalExpenses,2,130,
1916,Ivinskoye,10,12,FarmBuildings,1,25,
1916,Ivinskoye,10,12,LandImprovement,6,735,
1916,Ivinskoye,10,12,Livestock,8,570,покупка лошадей
1916,Ivinskoye,10,12,PersonalExpenses,3,105,
1916,Kuzaranda,2,2,FarmBuildings,4,213,все на постройку сарая
1916,Kuzaranda,2,2,Housing,6,300,все - на постройку домов
1916,Kuzaranda,2,2,Livestock,19,802,3 с. на 200 руб. - на покупку лошади; 16 с. на 602 р. - на покупку коров
1916,Kuzaranda,2,2,Seeds,1,25,
1916,Kuzaranda,2,2,CraftMaterials,7,90,все на покупку кожи
1916,Kuzaranda,2,2,GoodsForSale,1,200,на покупку рыбы
1916,Kuzaranda,2,2,AnimalFeed,31,459,все на покупку сена
1916,Kuzaranda,2,2,PersonalExpenses,46,622,4 с. на 26 руб. - на дрова; 42 с. по 596 руб. - выд. На хлеб
1916,Kuzaranda,8,8,FarmBuildings,1,20,на постройку сарая
1916,Kuzaranda,8,8,Seeds,4,76,на семяна
